ROW 1: RIS TAG:	AU	PY	T1	PB	SN	DO	UR	L1	N2	CT	CY	JO	VL	IS	SP	EP	KW								
ROW 2: TAG USE:	Author	Year	Title	Publisher	ISBN/ISSN	DOI	URL	File Link	(Notes/Abstract)	Conf. Title	City	Journal	Volume	Issue	Start Page	End Page	Keywords								
JOUR	Katchanovski, Ivan	1995/02/25	Будущее либеральной демократии в России [Prospects for Liberal Democracy in Russia]				https://www.researchgate.net/publication/260084521_Budusee_liberalnoj_demokratii_v_Rossii_Prospects_for_Liberal_Democracy_in_Russia	FutureofLiberalDemocracyinRussia.pdf	The October 1993 events and the December 1993 elections raise a question about prospects for liberal democracy in Russia. Many liberal politicians in Russia maintained that liberal democracy gained decisive victory as a result of the October 1993 events. One can argue that fundamental changes in the value orientations of the main actors have not occurred. Authoritarian values presented by such organizations as the Russian Communist Workers Party, the Communist Party of the Russian Federation and the Liberal Democratic Party have remained strong. In the case of free elections, the authoritarian parties would receive significant weight in parliament. This happened in the December 1993 elections. The success of the Liberal Democratic Party led by an extreme antiliberal, Zhirinovsky, has confirmed the influence of authoritarianism. The Communist Party of the Russian Federation and its ally, the Agrarian Party, also have received a significant share of votes. Liberal democrats from Russia's Choice have suffered a significant defeat. Charismatic leaders currently play a significant role in Russia. The success of the Liberal Democratic Party is to a great extent due to a charismatic figure, Vladimir Zhirinovsky. He has widely used political demagogy and appeal to emotions instead of rational arguments. Presently, liberal democrats in Russia are dependent on Yeltsin's presidential status and personal charisma. Yeltsin's charisma has begun to weaken as his actions, especially in the economic sphere, have failed to bring the results which he promised. The strong dependency on personality of Yeltsin can endanger Russian liberal-democratic reforms. Liberal politicians lack charisma, and their organizations are too weak to become dominant in Russian politics in the near future. Many liberal politicians, both in Russia and in the West, continue to orient their actions toward president Yeltsin believing that democracy in Russia could be secured by a strong presidential power. However, such power can be used to destroy democracy. The 1996 presidential elections can bring a challenge to liberal reforms and democracy from authoritarian and charismatic politicians. Presently, Russian democracy rests on the balance of power between liberal democrats on the one hand and authoritarian nationalists and communists on the other. The latter can use both democratic and undemocratic means in their political struggle. In such a situation, liberal democrats face the dilemma of choosing between democratic or authoritarian reform paths. Lack of legitimacy is another problem of Russian democracy. Copying Western liberal and democratic constitutions and other laws alone could not establish the rule of law when people do not consider them as legitimate. The political conflict between the president, parliament and vice-president -- which was resolved by anti-constitutional means in October 1993 -- is an example of the weak legitimacy of the rule of law and the democratic form of government. The prospects for stable liberal and democratic order in Russia depend on liberalization and rationalization of values. In present Russia, authoritarian values are strong, and charismatic leaders are influential. The rule of law lacks legitimacy. Liberal democrats are divided and dependent on Yeltsin’s status and favor.			Obschestvennyye nauki i sovremennost’			52	56									
JOUR	Katchanovski, Ivan	2000/04/01	Divergence in Growth in Post-Communist Countries			10.1017/S0143814X00000751	https://www.researchgate.net/publication/231792748_Divergence_in_Growth_in_Post-Communist_Countries	KatchanovskiJPParticle.pdf	The paper analyzes the divergence of economic growth in post-communist countries along geographical lines. It examines the role of culture, manifested in the form of civil society, social capital, trust, religious and business ethics, and historical experience, in the economic growth. Multivariate regression, a path (structural equation) model, and sensitivity analysis are used to determine direct and indirect effects of culture, policy, corruption, war, initial economic conditions, and ethnicity on the economic growth in 28 post-communist countries in 1990–1998. The statistical analyses show that a cultural index, which reflects civil society strength, the proportion of Catholics and Protestants in the population and historical experience, has the strongest effect on growth, economic reform, macroeconomic stabilization policy and corruption.			Journal of Public Policy	20		55	81									
BOOK	Katchanovski, Ivan	2001/04/05	Social Capital and Privatization in Regions of Ukraine				https://www.researchgate.net/publication/315725475_Social_Capital_and_Privatization_in_Regions_of_Ukraine		This paper analyzes the role of different forms of social capital in privatization in regions of Ukraine. Several recent studies linked regional government performance and economic development in Italy, Germany, Poland, and other countries to social capital, which is associated with different historical experiences. In post-communist Ukraine, regional political cleavages are also often traced to historical divisions. This paper examines whether different historical experiences in two groups of regions, those which were under Russian and then Soviet rule, and those which were under Austro-Hungarian, Polish, Romanian, and Czechoslovak rule until World War II, contributed to variations in the rate and quality of privatization. This study distinguishes between quantitative and qualitative aspects of social capital and privatization in industry and agriculture in Ukrainian regions. Statistical analysis of the 1995 World Values Survey data and aggregate data are used to analyze effects of historical experience and other direct and indirect measures of social capital, such as membership in voluntary organizations, interpersonal trust, importance of family and friends, and crime and divorce rates, on privatization in Ukraine. The role of social capital in privatization is compared to the role of other factors including economic policy, industrial structure, human capital, and ethnic cleavages.																
JOUR	Katchanovski, Ivan	2005/09/01	Small Nations but Great Differences: Political Orientations and Cultures of the Crimean Tatars and the Gagauz			10.1080/09668130500199483	https://www.researchgate.net/publication/248965160_Small_Nations_but_Great_Differences_Political_Orientations_and_Cultures_of_the_Crimean_Tatars_and_the_Gagauz	Europe-AsiaArticle.pdf	This article examines differing political orientations of Crimean Tatars and the Gagauz, two main Turkic minorities in Ukraine and Moldova. Crimean Tatars in Ukraine expressed anti-Communist and anti-Russian political preferences, while the Gagauz in Moldova showed strong support for pro-Communist and pro-Russian parties and politicians. This study analyses the role of cultural factors in political attitudes and behavior of Crimean Tatars and the Gagauz and uses data from surveys, elections and referendums. The analysis shows that distinct historical experiences of Crimean Tatars and the Gagauz in the Ottoman Empire, the Russian Empire, the Soviet Union and Romania led to the emergence of distinct political cultures of these ethnic groups and affected their political behavior and attitudes in post-communist Ukraine and Moldova.			Europe Asia Studies	57		877	894									
BOOK	Katchanovski, Ivan	2006/06/01	The Orange Evolution? The Political Realignment and Regional Divisions in Ukraine				https://www.researchgate.net/publication/317267735_The_Orange_Evolution_The_Political_Realignment_and_Regional_Divisions_in_Ukraine	TheOrangeEvolutionThePoliticalRealignmentandRegionalDivisionsinUkraine.pdf	This paper analyzes changes in political parties, political leaders, and regional political orientations in Ukraine in 2002-2006. The question is whether these changes are revolutionary or evolutionary. Most previous studies describe the culmination moment of these changes during the 2004 presidential elections as a revolution (the Orange Revolution). My hypothesis is that not a revolution but a major electoral realignment occurred in the Ukrainian politics since 2002. A realignment theory refers to elections that produce significant and relatively long-term changes in dominant parties, leaders, issues and preferences of voters. This study employs comparative analysis of regional support for pro-Yushchenko parties in the 2002 and 2006 parliamentary elections and support for Viktor Yushchenko in the 2004 presidential elections. The paper uses surveys conducted by the Kyiv International Institute of Sociology and the Razumkov Center in 2002-2006 to compare changes in political orientations in regions of Ukraine. This paper concludes that the changes in political leadership, regional political orientation, and political parties are best described as an evolutionary electoral realignment and not as a revolution.																
JOUR	Katchanovski, Ivan	2006/11/01	Regional Political Divisions in Ukraine in 1991–2006			10.1080/00905990600952939	https://www.researchgate.net/publication/233063606_Regional_Political_Divisions_in_Ukraine_in_1991-2006	Nationalitiespapers2006.pdf	This article examines determinants of persistent regional political cleavages in post-Communist Ukraine. The question is how significant the role of culture is compared to ethnic, economic, and religious factors in the regional divisions. This study employs correlation, factor, and regression analyses of regional support for the Communist/pro-Russian parties and presidential candidates and pro-nationalist/pro-independence parties and candidates in all national elections held from 1991 to 2006, the vote for the preservation of the Soviet Union in the March 1991 referendum, and the vote for the independence of Ukraine in the December 1991 referendum. This study shows that the pattern of these regional differences remained relatively stable from 1991 to 2006. Historical experience has a major effect on regional electoral behavior in post-Communist Ukraine. The legacy of Austro-Hungarian, Polish, Romanian, and Czechoslovak rule is positively associated with the pro-nationalist and pro-independence vote; the same historical legacy has a negative effect on support for pro-Communist and pro-Russian parties and presidential candidates and on the vote for the preservation of the Soviet Union.			Nationalities Papers	34		507	532									
JOUR	Katchanovski, Ivan	2008/10/01	The Orange Evolution? The "Orange Revolution" and Political Changes in Ukraine			10.2747/1060-586X.24.4.351	https://www.researchgate.net/publication/228960001_The_Orange_Evolution_The_Orange_Revolution_and_Political_Changes_in_Ukraine	The_Orange_Evolution_The_Orange_Revolution_and_Pol.pdf	Have there been changes in political institutions, parties, leaders, and regional political orientations in Ukraine after the "Orange Revolution"? If so, are the changes revolutionary or evolutionary? Most previous studies refer to the 2004 presidential elections and mass protest actions as a revolution. To test this claim, this article analyzes political changes in Ukraine. Survey data are used to compare changes in pro-Russian and pro-Western orientation, support for major parties in the 2002, 2006, and 2007 parliamentary elections, and support for leading presidential candidates since the 2004 presidential elections. The implications of these changes for development of democracy in Ukraine are also considered.			Post-Soviet Affairs	24		351	382									
BOOK	Katchanovski, Ivan	2010/06/01	Terrorists or National Heroes? Politics of the OUN and the UPA in Ukraine				https://www.researchgate.net/publication/257528302_Terrorists_or_National_Heroes_Politics_of_the_OUN_and_the_UPA_in_Ukraine	Terrorists or National Heroes? Politics of the OUN and the UPA in Ukraine.pdf	This study analyzes policies and public attitudes concerning the Organization of Ukrainian Nationalists (OUN) and the Ukrainian Insurgent Army (UPA) after the “Orange Revolution” in Ukraine. The issue of the political rehabilitation of these nationalist organizations, which relied on terrorism and were involved in Nazi genocide and ethnic cleansing of Poles during World War Two, became one of central political issues in this post-Soviet state. The question is which factors determine attitudes towards the OUN and the UPA in contemporary Ukraine. The hypothesis is that regional factors are the main determinants of the public opinion concerning these organizations. This paper uses analysis of historical studies and archival data to examine policies and controversies concerning the OUN and the UPA. It employs comparative and regression analyses of the 2009 Kyiv International Institute of Sociology survey to determine effects of regional factors, compared to other factors, such as ethnicity, language, and age, on attitudes towards the Stepan Bandera faction of the OUN and the UPA. The paper shows that that regional factors and perceptions of the involvement of the Bandera faction of the OUN and the UPA in mass murder are strongest predictors of views concerning these nationalist organizations.																
BOOK	Katchanovski, Ivan	2010/09/02	EU and NATO Enlargement Puzzles			10.2139/ssrn.1671948	https://www.researchgate.net/publication/259564441_EU_and_NATO_Enlargement_Puzzles	EU_and_NATO_Enlargement_Puzzles.pdf	Enlargements of the European Union (EU) and the North Atlantic Treaty Organization (NATO) present major puzzles. While many post-communist countries, such as Poland, the Czech Republic, Romania, Bulgaria, Bosnia, Albania, and the Baltic States were granted a membership or a prospect of membership in these organizations, a number of post-communist countries located in Europe, such as Russia, Belarus, Moldova, and Azerbaijan, were not offered prospects of membership even when they would satisfy official criteria for joining the EU and NATO. Some countries, such as Ukraine and Georgia, were officially recognized as potential members of NATO, but not the European Union. The question is, which factors account for such significant variation in the accession to the EU and NATO among European post-communist countries. Previous studies explained the exclusion of certain post-communist countries by their failure to meet such formal and informal EU membership criteria as having a liberal democracy, a European location and identity, a Western Christian religious tradition, a high level of economic development, a relatively small population size, and popular as well as government support from the EU’s prospective and most influential existing members. Similarly, NATO accession studies emphasized such criteria as democracy, peaceful resolution of internal ethnic conflicts or territorial disputes, and the ability to meet NATO military standards. This paper uses comparative and multiple regression analysis to determine which factors affect the European Union and NATO membership of 25 European post-communist countries. The EU accession index and the NATO accession index are derived from the status of each country as a member, as a candidate, as a potential candidate, and as a non-member/not a potential candidate. Such factors, as the level of democracy, the economic level of development, religion, post-Soviet region, population size, violent conflicts, and public support for EU or NATO membership, are analyzed. The study shows that the level of democracy and the economic development level have positive effects on EU accession, while being a post-Soviet country has a negative effect. Similarly, the level of democracy positively affects NATO accession, but post-Soviet states have a negative likelihood of admission into NATO when all other factors are held constant.																
